"ID_REF"	"GSM1525731"	"GSM1525732"	"GSM1525733"	"GSM1525734"	"GSM1525735"	"GSM1525736"
10338088	3.101896573	2.288057097	2.436206542	2.247456019	3.195574218	2.590315588
10338089	3.398062828	4.143228807	4.086225229	3.437915126	3.918028651	3.217028185
10338090	5.05153411	5.411898711	3.788018032	4.307223671	3.671414373	3.413995064
10338091	4.708437334	4.253430008	4.49340549	4.143143482	3.834926852	4.084211505
10338092	5.707788788	5.741348645	6.084781048	4.851040205	5.767795915	6.268237602
10338093	3.377643168	3.736613249	3.244500817	3.571696847	3.729190849	3.20246759
10338094	6.875540524	7.707826812	6.785616214	7.520397787	6.525688246	6.887232229
10338095	10.29934612	10.45458389	10.40228033	10.75481386	10.88850768	10.90569259
10338096	4.379299725	4.535312502	5.965111855	4.32919807	4.590099725	4.93076147
10338097	3.695122367	3.841063537	2.722271638	2.546751047	2.722271638	4.690215633
10338098	5.915892657	7.291859028	6.717279907	6.401151917	6.653711623	6.019056959
10338099	4.986754682	5.845635894	2.962814686	5.668969952	5.114062742	5.67349047
10338100	2.317782592	1.868551335	1.903688436	2.256552961	2.014552287	2.024196566
10338101	5.135550515	6.138612041	5.53324772	5.396990642	6.132442756	4.604909158
10338102	2.306800589	1.536263472	2.465598332	2.193887271	1.808973479	1.700402274
10338103	3.732635541	4.620448763	4.108168494	5.074686767	4.125566519	4.465455529
10338104	9.004630151	9.145828943	8.896695828	8.4201677	8.437037532	7.80917219
10338105	2.066692542	2.425008604	2.017607436	3.650174476	3.626659564	2.3744999
10338106	5.978229584	6.1099665	6.249301576	6.479497563	6.883738894	7.235277373
10338107	6.205203657	6.327061056	6.531495249	6.122620525	6.183915836	6.02186557
10338108	4.286843031	4.047760595	4.734140384	4.352601577	3.881826274	4.144963749
10338109	3.10033262	2.290865889	2.090553428	2.848386942	2.516025012	1.886503713
10338110	5.490238768	6.535912952	4.803679401	5.915251193	5.251233232	5.246968852
10338111	7.182854759	7.339235433	7.527547605	7.480765291	7.419379482	8.054549733
10338112	6.465120417	6.175996161	5.634553388	8.362655716	8.565300741	7.954342139
10338113	2.427714363	2.910306635	2.760030662	4.266854167	3.080818619	3.292740534
