p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
3.29667814082633e-19;1.0876446099802;1;0.985;2.50448638358576e-15;Tg 2;TGME49-460030
3.24731204945948e-17;1.20820047564371;0.96;0.697;2.46698296397437e-13;Tg 2;TGME49-459180
7.01046885563822e-15;1.09558126645772;0.947;0.648;5.32585318962835e-11;Tg 2;TGME49-457960
7.38178613551123e-15;1.08898333502279;0.88;0.468;5.60794292714788e-11;Tg 2;TGME49-458740
1.02083835338548e-14;1.02986434985984;1;0.959;7.75530897066949e-11;Tg 2;TGME49-460280
2.47075815383847e-14;1.25657291922543;1;0.929;1.87703496947108e-10;Tg 2;TGME49-205340
2.93956925318785e-13;1.11634031450977;1;0.936;2.23319076164681e-09;Tg 2;TGME49-260260
3.17524785812454e-13;1.15507587340544;0.987;0.921;2.41223579781722e-09;Tg 2;TGME49-300190
8.85264533136553e-13;1.03048499733807;0.88;0.629;6.72535465823840e-09;Tg 2;TGME49-459830
9.37880052524957e-11;1.02733977806749;0.987;0.933;7.1250747590321e-07;Tg 2;TGME49-461470
2.73044123709469e-10;1.04719632006955;0.933;0.596;2.07431620782083e-06;Tg 2;TGME49-209850
6.49020651757936e-10;1.04009504483329;1;0.936;4.93060989140504e-06;Tg 2;TGME49-213580
1.3088522941559e-09;1.04127794750288;1;0.948;9.94335087870238e-06;Tg 2;TGME49-229250
1.60342038498515e-09;1.49408727192979;0.853;0.64;1.21811846647322e-05;Tg 2;TGME49-257350
2.69631211279462e-09;1.2675107827661;0.827;0.494;2.04838831209008e-05;Tg 2;TGME49-319530
1.77236815695231e-08;1.54002000019213;0.707;0.431;0.000134646808883667;Tg 2;TGME49-232955
7.55887671859088e-08;1.0525531899391;0.987;0.674;0.000574247864311349;Tg 2;TGME49-211010
9.6302703879568e-08;1.17306571058325;0.88;0.569;0.000731611641373078;Tg 2;TGME49-261250
1.10765391304253e-07;1.0338360702737;0.813;0.468;0.000841484677738413;Tg 2;TGME49-267600
3.27358141844126e-07;1.1335687102035;0.627;0.333;0.00248693980358982;Tg 2;TGME49-243710
6.33582611217781e-07;1.09784768475392;0.96;0.813;0.00481332709742148;Tg 2;TGME49-227780
9.29706846209387e-07;1.10777085833933;0.613;0.39;0.00706298291065271;Tg 2;TGME49-300621
1.11756257872343e-06;1.09633372209467;0.787;0.446;0.00849012291056186;Tg 2;TGME49-266030
3.70239154918928e-06;1.4088215670169;0.36;0.139;0.028127068599191;Tg 2;TGME49-207080
7.15413358930639e-19;2.25148970345974;0.574;0.1;5.43499528779607e-15;Tg 3;TGME49-251930
7.94862995780367e-17;1.71222353638103;0.754;0.246;6.03857417894345e-13;Tg 3;TGME49-238110
2.55071743371893e-16;2.45815410976666;0.574;0.132;1.93778003439627e-12;Tg 3;TGME49-239530
