myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2
Vps41	0.889	1.0820829867169	0.778	1.56111575876679	1	0.778
Hgs	0.889	1.14228735217077	0.778	1.64797229824696	1	0.778
Oxld1	0.889	0.851752210736584	0.778	1.22881869049588	1	0.222
P4ha2	0.889	1.92154745098126	0.778	2.7722069783635	1	0.222
Rars	0.889	1.0660361182335	0.778	1.53796502118399	1	0.889
Limk2	0.889	1.10516968921427	0.778	1.59442282997022	1	0.222
Nudt16	0.889	1.20483450192342	0.778	1.73820876101684	1	0.444
Oaz2	0.889	1.14228735217077	0.778	1.64797229824696	1	0.444
Ubac2	0.889	1.00667479334242	0.778	1.45232473214304	1	0.556
Lacc1	0.889	1.03832005841199	0.778	1.49797919912652	1	0.444
Lcp1	0.889	0.60736294815921	0.778	0.876239513328994	1	1
Dpysl2	0.889	0.815993518172876	0.778	1.17722980206555	1	1
Ipo4	0.889	1.06979185013262	0.778	1.54338339696976	1	0.556
Ghitm	0.889	0.650257774142683	0.778	0.938123666055144	1	1
Btd	0.889	2.14216480015319	0.778	3.09049053394791	1	0.222
Pkn1	0.889	1.11103480866667	0.778	1.60288440871842	1	0.333
Slc35e1	0.889	0.659380318089128	0.778	0.951284714966973	1	0.778
Tma16	0.889	1.4218392985393	0.778	2.05128050494369	1	0.778
Dctn6	0.889	1.19534191512666	0.778	1.72451385311995	1	0.556
Ikbkb	0.889	1.04342587310082	0.778	1.50534533265779	1	0.889
Smarcc2	0.889	1.12198563985342	0.778	1.61868311856516	1	0.889
Tspan31	0.889	1.59178297719538	0.778	2.29645740737124	1	0.778
Rbbp6	0.889	1.1039173408978	0.778	1.59261607326459	1	0.778
Pik3c2a	0.889	0.993251773010283	0.778	1.43295940727611	1	0.222
Dennd5a	0.889	0.968115799738742	0.778	1.39669586328934	1	1
Zfp141	0.889	0.75377180237638	0.778	1.08746284125034	1	0.333
Kmt5c	0.889	1.27754974747782	0.778	1.8431146851752	1	0.667
Mrps35	0.889	1.00910714480008	0.778	1.45583387352869	1	0.667
Plxnd1	0.889	0.894107722695237	0.778	1.28992477755294	1	1
Rmnd5a	0.889	0.979552928652121	0.778	1.41319615245468	1	0.889
Ahcyl2	0.889	0.839750654751821	0.778	1.21150410519371	1	0.889
Bmt2	0.889	1.56123581061622	0.778	2.25238716163429	1	0.556
Rasa4	0.889	1.32887330775118	0.778	1.91715893106235	1	0.556
Smim20	0.889	1.01726664921416	0.778	1.467605550083	1	0.889
Clic4	0.889	0.613514620424638	0.778	0.885114500399502	1	1
Selenon	0.889	0.993251773010283	0.778	1.43295940727611	1	0.444
Prdx1	0.889	0.29853631611233	0.778	0.430696862780517	1	1
Rnf11	0.889	0.754577279665197	0.778	1.08862489934046	1	0.889
Tmem59	0.889	0.583391053429081	0.778	0.841655379681123	1	1
Sec61b	0.889	0.814280303101611	0.778	1.17475815517826	1	1
Nudt17	0.889	1.50407739677627	0.778	2.16992500144231	1	0.444
Ctso	0.889	1.55537069116382	0.778	2.24392558288609	1	0.333
Gm6377	0.889	1.09051507843549	0.778	1.57328069567352	1	0.222
