p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Dse	9.33255942441049e-05	-2.62015192918346	0.25	0.444	1
Ankrd13b	9.82394508413693e-05	-3.06711419585854	0.25	0.889	1
Exosc3	9.97075227364926e-05	-1.25328642928223	0.5	0.556	1
Fnbp1l	0.000100132814429064	3.01601231798863	1	0.667	1
Gm38034	0.000102509867500299	1.25738784269265	0.5	0.333	1
Fam172a	0.000104331796401439	0.822001698022005	1	0.556	1
Vezf1	0.000105591238810372	2.75488750216347	1	0.556	1
Nup107	0.000106600019947076	-1.65450343397423	0.25	0.444	1
Arhgef3	0.000108386334328858	2.90689059560852	0.75	0.222	1
Castor1	0.00010911909880926	-1.58906689905389	0.25	0.444	1
Vwa5a	0.000110166452539942	3.46365620449902	1	0.667	1
Tm7sf2	0.00011135504526684	1.13515958328164	0.75	0.222	1
Trpv2	0.000111474761393452	4.04439411935845	0.75	0.222	1
Cdc42bpa	0.000115090066793659	-1.15200309344505	0.75	0.444	1
Dhcr7	0.00011984927637099	1.02974734339405	0.5	0.444	1
Prdx2	0.000120521092733233	1.66380577911897	1	1	1
